2025-10-27 19:57:04,596 | INFO | Extracting successful..
2025-10-27 19:57:04,597 | INFO | Transforming data..
2025-10-27 19:57:04,597 | INFO | Load data to database..
2025-10-27 19:57:04,643 | INFO | Load success..

2025-10-27 19:58:03,865 | INFO | Extracting data from url..
2025-10-27 19:58:05,221 | INFO | Extracting successful..
2025-10-27 19:58:05,223 | INFO | Transforming data..
2025-10-27 19:58:05,223 | INFO | Load data to database..
2025-10-27 19:58:05,273 | INFO | Load success..

2025-10-27 19:59:02,981 | INFO | Extracting data from url..
2025-10-27 19:59:04,327 | INFO | Extracting successful..
2025-10-27 19:59:04,330 | INFO | Transforming data..
2025-10-27 19:59:04,330 | INFO | Load data to database..
2025-10-27 19:59:04,365 | INFO | Load success..

2025-10-27 20:00:03,308 | INFO | Extracting data from url..
2025-10-27 20:00:05,124 | INFO | Extracting successful..
2025-10-27 20:00:05,125 | INFO | Transforming data..
2025-10-27 20:00:05,125 | INFO | Load data to database..
2025-10-27 20:00:05,168 | INFO | Load success..

2025-10-27 20:01:03,935 | INFO | Extracting data from url..
2025-10-27 20:01:05,205 | INFO | Extracting successful..
2025-10-27 20:01:05,206 | INFO | Transforming data..
2025-10-27 20:01:05,207 | INFO | Load data to database..
2025-10-27 20:01:05,269 | INFO | Load success..

2025-10-27 20:02:03,874 | INFO | Extracting data from url..
2025-10-27 20:02:05,399 | INFO | Extracting successful..
2025-10-27 20:02:05,404 | INFO | Transforming data..
2025-10-27 20:02:05,405 | INFO | Load data to database..
2025-10-27 20:02:05,470 | INFO | Load success..

2025-10-27 20:03:03,739 | INFO | Extracting data from url..
2025-10-27 20:03:05,434 | INFO | Extracting successful..
2025-10-27 20:03:05,435 | INFO | Transforming data..
2025-10-27 20:03:05,435 | INFO | Load data to database..
2025-10-27 20:03:05,471 | INFO | Load success..

2025-10-27 20:04:03,142 | INFO | Extracting data from url..
2025-10-27 20:04:04,466 | INFO | Extracting successful..
2025-10-27 20:04:04,467 | INFO | Transforming data..
2025-10-27 20:04:04,467 | INFO | Load data to database..
2025-10-27 20:04:04,502 | INFO | Load success..

2025-10-27 20:05:03,283 | INFO | Extracting data from url..
2025-10-27 20:05:04,622 | INFO | Extracting successful..
2025-10-27 20:05:04,625 | INFO | Transforming data..
2025-10-27 20:05:04,626 | INFO | Load data to database..
2025-10-27 20:05:04,657 | INFO | Load success..

2025-10-27 20:06:03,415 | INFO | Extracting data from url..
2025-10-27 20:06:05,196 | INFO | Extracting successful..
2025-10-27 20:06:05,198 | INFO | Transforming data..
2025-10-27 20:06:05,198 | INFO | Load data to database..
2025-10-27 20:06:05,239 | INFO | Load success..

2025-10-27 20:07:02,850 | INFO | Extracting data from url..
2025-10-27 20:07:04,672 | INFO | Extracting successful..
2025-10-27 20:07:04,675 | INFO | Transforming data..
2025-10-27 20:07:04,675 | INFO | Load data to database..
2025-10-27 20:07:04,713 | INFO | Load success..

2025-10-27 20:08:03,491 | INFO | Extracting data from url..
2025-10-27 20:08:05,233 | INFO | Extracting successful..
2025-10-27 20:08:05,234 | INFO | Transforming data..
2025-10-27 20:08:05,234 | INFO | Load data to database..
2025-10-27 20:08:05,271 | INFO | Load success..

2025-10-27 20:09:02,931 | INFO | Extracting data from url..
2025-10-27 20:09:04,319 | INFO | Extracting successful..
2025-10-27 20:09:04,321 | INFO | Transforming data..
2025-10-27 20:09:04,321 | INFO | Load data to database..
